version,base version,scenario,test case,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23061.8,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T11:57:07.3940807Z,95.5401769,90.1397708,105.99114691780424
8.0.100-alpha.1.23061.8,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T11:57:07.3940807Z,14.9600582,16.2022403,92.33326949236768
8.0.100-alpha.1.23061.8,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T11:57:07.3940807Z,10.0892914,10.9239187,92.35963464283198
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:55:15.7979388Z,628.7133587,119.3018541,526.9937868467712
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:55:15.7979388Z,311.4582638,69.977688,445.08224364314526
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:55:15.7979388Z,305.4481633,70.8857436,430.9021077970324
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:55:15.7979388Z,575.8855769,85.1313739,676.4669128639542
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:55:15.7979388Z,18.6615965,18.9297947,98.58319541098881
8.0.100-alpha.1.23061.8,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T11:50:43.3128197Z,27.016592,23.0851139,117.03036041767159
8.0.100-alpha.1.23061.8,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T11:50:43.3128197Z,22.265275,22.8354109,97.50328162476814
8.0.100-alpha.1.23061.8,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T11:50:43.3128197Z,20.7112239,19.9887535,103.61438445874076
8.0.100-alpha.1.23061.8,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T11:50:43.3128197Z,13.5858811,12.9565379,104.85734078700145
8.0.100-alpha.1.23061.8,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T11:50:43.3128197Z,9.717308,8.8644591,109.62099199036295
8.0.100-alpha.1.23061.8,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T13:32:35.3656449Z,105.5740539,107.5050307,98.20382656753196
8.0.100-alpha.1.23061.8,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T13:32:35.3656449Z,111.7281783,114.6989919,97.40990434982193
8.0.100-alpha.1.23061.8,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T13:32:35.3656449Z,102.8782992,100.6826865,102.18072518356966
8.0.100-alpha.1.23061.8,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T13:32:35.3656449Z,15.4970946,14.9262987,103.82409538675519
8.0.100-alpha.1.23061.8,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T13:32:35.3656449Z,10.5522111,9.8104763,107.56064004761929
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T13:32:13.4894172Z,686.9653018,150.5508235,456.3012581595078
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T13:32:13.4894172Z,376.8563683,94.7746434,397.63417173669893
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T13:32:13.4894172Z,338.6788208,83.8689124,403.81925925630577
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T13:32:13.4894172Z,643.832599,112.898733,570.2744237174035
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T13:32:13.4894172Z,23.6523797,24.5896566,96.18832863245434
8.0.100-alpha.1.23061.8,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,27.4030961,23.2772475,117.72481303899869
8.0.100-alpha.1.23061.8,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,23.3318391,23.0339339,101.29333183508007
